id,area_ratio,r_min,r_max,r_mean,r_median,r_std,g_min,g_max,g_mean,g_median,g_std,b_min,b_max,b_mean,b_median,b_std,eccentricity,solidity,circularity,sym_h,sym_v,bug_type
30,0.0178554583333333,21.0,255.0,138.37986755371094,132.0,49.31233215332031,0.0,255.0,99.0691146850586,100.0,44.21555709838867,0.0,255.0,77.28227996826172,69.0,48.50761032104492,0.5543347031869522,0.7029696473595024,0.0782528452896415,0.0016591685125604,0.0673549249768257,0
31,0.011362125,8.0,255.0,130.8031463623047,139.0,50.07429885864258,0.0,255.0,110.84205627441406,120.0,49.400020599365234,0.0,255.0,93.56194305419922,95.0,47.63671875,0.5051019050972262,0.7471784656442744,0.3498642992389728,0.6580649018287659,0.566126823425293,0
32,0.0098641666666666,2.0,255.0,91.08694458007812,81.0,68.51819610595703,0.0,255.0,76.2834243774414,61.0,60.861698150634766,0.0,255.0,74.69414520263672,58.0,58.4508171081543,0.5503802549764728,0.6126748170308796,0.2069837818219031,0.5485038161277771,-0.0099618798121809,0
33,0.0081559166666666,6.0,255.0,84.73464965820312,77.0,55.26763153076172,2.0,255.0,70.85525512695312,63.0,50.38531875610352,0.0,255.0,55.49679565429688,42.0,44.80968475341797,0.5461122725316034,0.5658297151512699,0.1648325849515164,-0.0082226833328604,0.5690813064575195,0
34,0.0080445,7.0,255.0,79.30026245117188,70.0,51.36077117919922,5.0,255.0,65.87738800048828,51.0,48.33150100708008,0.0,255.0,44.335845947265625,32.0,36.99091720581055,0.5094966277622082,0.6024864878359317,0.1580705055964353,0.4222531616687774,0.1770853996276855,0
35,0.00541725,5.0,192.0,71.2880630493164,57.0,48.88376998901367,5.0,188.0,57.11564254760742,37.0,49.54143142700195,0.0,182.0,48.08397674560547,28.0,47.202186584472656,0.8364902514398015,0.8137674628210906,0.295252520603839,-0.0054462039843201,0.5264813899993896,0
36,0.0094573333333333,9.0,255.0,111.748291015625,118.0,50.74702453613281,7.0,255.0,88.4391098022461,97.0,46.222145080566406,5.0,238.0,63.46918487548828,65.0,35.49956512451172,0.4783186638832775,0.653917292323294,0.1787953231861775,0.1352534890174865,0.0828415229916572,0
37,0.0104475,11.0,255.0,142.60354614257812,151.0,63.64925003051758,8.0,255.0,117.72199249267578,128.0,62.29575347900391,0.0,255.0,91.58746337890624,88.0,53.260719299316406,0.6523009692460893,0.6246263302642593,0.1999109399229191,-0.0023843643721193,0.1555551290512085,0
38,0.01157,0.0,255.0,111.84182739257812,109.0,47.0269660949707,0.0,255.0,92.6799774169922,91.0,45.57876205444336,0.0,255.0,73.6926498413086,65.0,44.09892654418945,0.6735175510692919,0.7800438226866678,0.320426572656422,-0.011705576442182,-0.0117057068273425,0
39,0.0165848333333333,4.0,255.0,92.50464630126952,87.0,50.42578125,0.0,255.0,68.21366119384766,65.0,44.58816909790039,0.0,255.0,53.35652160644531,45.0,41.984806060791016,0.5637815961127153,0.7163146604471703,0.2226400674931181,0.3684586584568023,0.04559176415205,0
40,0.01470125,8.0,210.0,85.43218231201172,90.0,39.00913238525391,5.0,191.0,71.09253692626953,72.0,34.2186279296875,0.0,152.0,56.041786193847656,52.0,29.165266036987305,0.3862661154774818,0.5666477157751718,0.2219842180305205,0.3887587189674377,0.1190396249294281,0
41,0.0093895,8.0,255.0,107.5233154296875,101.0,55.84521484375,5.0,255.0,97.90794372558594,89.0,55.90193557739258,0.0,255.0,77.16804504394531,62.0,52.38133239746094,0.9136942995198336,0.7290927915102886,0.2923424809422706,0.2928354442119598,0.7229047417640686,0
